"Chinese","Traditional","Pinyin","Definition","Result"
"你","","nǐ ","you (informal, as opposed to courteous 您)","True"
"好","","hǎo <br />hào ","good  / well  / proper  / good to  / easy to  / very  / so  / (suffix indicating completion or readiness)  / (of two people) close  / on intimate terms<br />to be fond of  / to have a tendency to  / to be prone to","True"
"再见","再見","zài jiàn ","goodbye  / see you again later","True"
"再","","zài ","again  / once more  / re-  / second  / another  / then (after sth, and not until then)","True"
"见","見","jiàn <br />xiàn ","to see  / to meet  / to appear (to be sth)  / to interview<br />to appear  / also written 現｜现","True"
"三","","Sān <br />sān ","surname San<br />three  / 3","True"
"一","","yī ","one  / 1  / single  / a (article)  / as soon as  / entire  / whole  / all  / throughout  / ""one"" radical in Chinese characters (Kangxi radical 1)  / also pr. [yao1] for greater clarity when spelling out numbers digit by digit","True"
"七","","qī ","seven  / 7","True"
"八","","bā ","eight  / 8","True"
"十","","shí ","ten  / 10","True"
"零","","líng ","zero  / nought  / zero sign  / fractional  / fragmentary  / odd (of numbers)  / (placed between two numbers to indicate a smaller quantity followed by a larger one)  / fraction  / (in mathematics) remainder (after division)  / extra  / to wither and fall  / to wither","True"
"元","","Yuán <br />yuán ","surname Yuan  / the Yuan or Mongol dynasty (1279-1368)<br />currency unit (esp. Chinese yuan)  / first  / original  / primary  / fundamental  / constituent  / part  / era (of a reign)  / meta- (prefix)  / (math.) argument  / variable  / (Tw) (geology) eon","True"
"五","","wǔ ","five  / 5","True"
"九","","jiǔ ","nine  / 9","True"
"百","","Bǎi <br />bǎi ","surname Bai<br />hundred  / numerous  / all kinds of","True"
"二","","èr ","two  / 2  / (Beijing dialect) stupid","True"
"四","","sì ","four  / 4","True"
"六","","liù ","six  / 6","True"
"叫","","jiào ","to shout  / to call  / to order  / to ask  / to be called  / by (indicates agent in the passive mood)","True"
"我","","wǒ ","I  / me  / my","True"
"张","張","Zhāng <br />zhāng ","surname Zhang<br />to open up  / to spread  / sheet of paper  / classifier for flat objects, sheet  / classifier for votes","True"
"李","","Lǐ <br />lǐ ","surname Li<br />plum","True"
"华","華","Huá <br />Huà <br />huá ","abbr. for China<br />Mt Hua 華山｜华山 in Shaanxi  / surname Hua<br />magnificent  / splendid  / flowery","True"
"明","","Míng <br />míng ","Ming Dynasty (1368-1644)  / surname Ming  / Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God<br />bright  / opposite: dark 暗 / (of meaning) clear  / to understand  / next  / public or open  / wise  / generic term for a sacrifice to the gods","True"
"名字","","míng zi ","name (of a person or thing)  / CL: 個｜个","True"
"什么","什麼","shén me ","what?  / something  / anything","True"
"名","","míng ","name  / noun (part of speech)  / place (e.g. among winners)  / famous  / classifier for people","True"
"字","","zì ","letter  / symbol  / character  / word  / CL: 個｜个 / courtesy or style name traditionally given to males aged 20 in dynastic China","True"
"什","","shén <br />shí ","what<br />ten (used in fractions, writing checks etc)  / assorted  / miscellaneous","True"
"么","麼","má <br />ma <br />me ","exclamatory final particle<br />interrogative final particle<br />suffix, used to form interrogative 甚麼｜什么, what?, indefinite 這麼｜这么 thus, etc","True"
"姓","","xìng ","family name  / surname  / CL: 個｜个 / to be surnamed","True"
"王","","Wáng <br />wáng <br />wàng ","surname Wang<br />king or monarch  / best or strongest of its type  / grand  / great<br />to rule  / to reign over","True"
"呢","","ne <br />ní ","particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")  / particle for inquiring about location (""Where is ...?"")  / particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?"")  / (at the end of a declarative sentence) particle indicating continuation of a state or action  / particle indicating strong affirmation<br />woolen material","True"
"很","","hěn ","(adverb of degree)  / quite  / very  / awfully","True"
"高兴","高興","gāo xìng ","happy  / glad  / willing (to do sth)  / in a cheerful mood","True"
"高","","Gāo <br />gāo ","surname Gao<br />high  / tall  / above average  / loud  / your (honorific)","True"
"兴","興","Xīng <br />xīng <br />xìng ","surname Xing<br />to rise  / to flourish  / to become popular  / to start  / to encourage  / to get up  / (often used in the negative) to permit or allow (dialect)  / maybe (dialect)<br />feeling or desire to do sth  / interest in sth  / excitement","True"
"认识","認識","rèn shi ","to know  / to recognize  / to be familiar with  / to get acquainted with sb  / knowledge  / understanding  / awareness  / cognition","True"
"也","","Yě <br />yě ","surname Ye<br />also  / too  / (in Classical Chinese) final particle implying affirmation","True"
"认","認","rèn ","to recognize  / to know  / to admit","True"
"识","識","shí <br />zhì ","to know  / knowledge  / Taiwan pr. [shi4]<br />to record  / to write a footnote","True"
"吃","","chī ","to eat  / to consume  / to eat at (a cafeteria etc)  / to eradicate  / to destroy  / to absorb  / to suffer  / to stammer (Taiwan pr. for this sense is [ji2])","True"
"饭","飯","fàn ","food  / cuisine  / cooked rice  / meal  / CL: 碗, 頓｜顿","True"
"鱼","魚","Yú <br />yú ","surname Yu<br />fish  / CL: 條｜条, 尾","True"
"面","","miàn <br />miàn ","face  / side  / surface  / aspect  / top  / classifier for flat surfaces such as drums, mirrors, flags etc<br />flour  / noodles  / (of food) soft (not crunchy)  / (slang) (of a person) ineffectual  / spineless","True"
"喝","","hē <br />hè ","to drink  / My goodness!<br />to shout loudly","True"
"水","","Shuǐ <br />shuǐ ","surname Shui<br />water  / river  / liquid  / beverage  / additional charges or income  / (of clothes) classifier for number of washes","True"
"茶","","chá ","tea  / tea plant  / CL: 杯, 壺｜壶","True"
"不","","bù ","(negative prefix)  / not  / no","True"
"是","","shì ","is  / are  / am  / yes  / to be","True"
"他","","tā ","he or him  / (used for either sex when the sex is unknown or unimportant)  / (used before sb's name for emphasis)  / (used as a meaningless mock object)  / other  / another","True"
"学生","學生","xué sheng ","student  / schoolchild","True"
"学","學","xué ","to learn  / to study  / to imitate  / science  / -ology","True"
"生","","shēng ","to be born  / to give birth  / life  / to grow  / raw  / uncooked  / student","True"
"吗","嗎","mǎ <br />ma ","see 嗎啡｜吗啡, morphine<br />(question particle for ""yes-no"" questions)","True"
"她","","tā ","she","True"
"你们","你們","nǐ men ","you (plural)","True"
"我们","我們","wǒ men ","we  / us  / ourselves  / our","True"
"他们","他們","tā men ","they","True"
"们","們","men ","plural marker for pronouns, and nouns referring to individuals","True"
"老师","老師","lǎo shī ","teacher  / CL: 個｜个, 位","True"
"医生","醫生","yī shēng ","doctor  / CL: 個｜个, 位, 名","True"
"她们","她們","tā men ","they  / them (for females)","True"
